dir,entry,sl,tp,lot,open_ts,exit,reason,pnl,year,month,date
SHORT,926.58,929.08,916.58,0.4,2009-06-24 07:00:00+00:00,929.08,sl,-101.0,2009,6,2009-06-24
LONG,1058.08,1055.58,1068.08,0.4,2009-10-15 11:00:00+00:00,1055.58,sl,-101.0,2009,10,2009-10-15
LONG,1138.33,1135.83,1148.33,0.4,2009-11-19 08:00:00+00:00,1135.83,sl,-101.0,2009,11,2009-11-19
SHORT,1097.8,1100.3,1087.8,0.4,2010-01-25 07:00:00+00:00,1100.3,sl,-101.0,2010,1,2010-01-25
LONG,1128.75,1126.25,1138.75,0.4,2010-04-06 07:00:00+00:00,1126.25,sl,-101.0,2010,4,2010-04-06
LONG,1160.33,1157.83,1170.33,0.4,2010-04-27 11:00:00+00:00,1170.33,tp,399.0,2010,4,2010-04-27
LONG,1223.43,1220.93,1233.43,0.4,2010-06-02 11:00:00+00:00,1220.93,sl,-101.0,2010,6,2010-06-02
LONG,1225.43,1222.93,1235.43,0.4,2010-08-18 08:00:00+00:00,1222.93,sl,-101.0,2010,8,2010-08-18
LONG,1239.33,1236.83,1249.33,0.4,2010-08-27 08:00:00+00:00,1236.83,sl,-101.0,2010,8,2010-08-27
LONG,1257.0,1254.5,1267.0,0.4,2010-09-09 07:00:00+00:00,1254.5,sl,-101.0,2010,9,2010-09-09
LONG,1364.18,1361.68,1374.18,0.4,2011-02-10 11:00:00+00:00,1361.68,sl,-101.0,2011,2,2011-02-10
SHORT,1509.78,1512.28,1499.78,0.4,2011-05-13 07:00:00+00:00,1499.78,tp,399.0,2011,5,2011-05-13
SHORT,1493.58,1496.08,1483.58,0.4,2011-07-04 07:00:00+00:00,1496.08,sl,-101.0,2011,7,2011-07-04
SHORT,1649.7,1652.2,1639.7,0.4,2012-03-21 07:00:00+00:00,1652.2,sl,-101.0,2012,3,2012-03-21
SHORT,1560.37,1562.87,1550.37,0.4,2012-05-31 07:00:00+00:00,1562.87,sl,-101.0,2012,5,2012-05-31
LONG,1626.42,1623.92,1636.42,0.4,2012-06-07 07:00:00+00:00,1623.92,sl,-101.0,2012,6,2012-06-07
LONG,1589.05,1586.55,1599.05,0.4,2012-07-16 08:00:00+00:00,1586.55,sl,-101.0,2012,7,2012-07-17
LONG,1581.84,1579.34,1591.84,0.4,2012-07-20 11:00:00+00:00,1579.34,sl,-101.0,2012,7,2012-07-23
LONG,1675.39,1672.89,1685.39,0.4,2013-02-04 11:00:00+00:00,1672.89,sl,-101.0,2013,2,2013-02-04
LONG,1600.68,1598.18,1610.68,0.4,2013-03-25 11:00:00+00:00,1598.18,sl,-101.0,2013,3,2013-03-26
LONG,1382.21,1379.71,1392.21,0.4,2013-05-28 08:00:00+00:00,1379.71,sl,-101.0,2013,5,2013-05-28
LONG,1338.27,1335.77,1348.27,0.4,2013-08-15 11:00:00+00:00,1348.27,tp,399.0,2013,8,2013-08-15
LONG,1399.02,1396.52,1409.02,0.4,2013-08-30 11:00:00+00:00,1396.52,sl,-101.0,2013,8,2013-08-30
LONG,1322.48,1319.98,1332.48,0.4,2014-04-11 06:00:00+00:00,1319.98,sl,-101.0,2014,4,2014-04-11
LONG,1314.92,1312.42,1324.92,0.4,2014-06-26 08:00:00+00:00,1312.42,sl,-101.0,2014,6,2014-06-26
LONG,1312.72,1310.22,1322.72,0.4,2014-08-13 08:00:00+00:00,1310.22,sl,-101.0,2014,8,2014-08-13
LONG,1225.83,1223.33,1235.83,0.4,2014-12-11 11:00:00+00:00,1223.33,sl,-101.0,2014,12,2014-12-11
LONG,1201.67,1199.17,1211.67,0.4,2015-03-27 07:00:00+00:00,1199.17,sl,-101.0,2015,3,2015-03-27
SHORT,1186.34,1188.84,1176.34,0.4,2015-05-28 07:00:00+00:00,1188.84,sl,-101.0,2015,5,2015-05-28
LONG,1181.12,1178.62,1191.12,0.4,2015-06-15 07:00:00+00:00,1178.62,sl,-101.0,2015,6,2015-06-15
SHORT,1072.24,1074.74,1062.24,0.4,2015-12-16 13:00:00+00:00,1062.24,tp,399.0,2015,12,2015-12-16
LONG,1226.65,1224.15,1236.65,0.4,2016-04-06 11:00:00+00:00,1224.15,sl,-101.0,2016,4,2016-04-06
SHORT,1249.83,1252.33,1239.83,0.4,2016-05-20 11:00:00+00:00,1252.33,sl,-101.0,2016,5,2016-05-20
SHORT,1319.54,1322.04,1309.54,0.4,2016-07-26 07:00:00+00:00,1322.04,sl,-101.0,2016,7,2016-07-26
LONG,1245.6,1243.1,1255.6,0.4,2017-03-24 07:00:00+00:00,1243.1,sl,-101.0,2017,3,2017-03-24
SHORT,1209.45,1211.95,1199.45,0.4,2017-07-07 11:00:00+00:00,1211.95,sl,-101.0,2017,7,2017-07-07
SHORT,1318.0,1320.5,1308.0,0.4,2018-03-02 11:00:00+00:00,1320.5,sl,-101.0,2018,3,2018-03-02
SHORT,1315.21,1317.71,1305.21,0.4,2018-03-21 07:00:00+00:00,1317.71,sl,-101.0,2018,3,2018-03-21
LONG,1296.85,1294.35,1306.85,0.4,2018-06-11 07:00:00+00:00,1294.35,sl,-101.0,2018,6,2018-06-12
LONG,1291.088,1288.59,1301.09,0.4,2019-01-15 06:00:00+00:00,1288.59,sl,-100.92000000000189,2019,1,2019-01-15
SHORT,1503.095,1505.6,1493.1,0.4,2019-09-12 11:00:00+00:00,1505.6,sl,-101.19999999999527,2019,9,2019-09-13
LONG,1527.168,1524.67,1537.17,0.4,2019-09-24 11:00:00+00:00,1524.67,sl,-100.9199999999928,2019,9,2019-09-24
LONG,1720.498,1718.0,1730.5,0.4,2020-06-15 11:00:00+00:00,1718.0,sl,-100.92000000000189,2020,6,2020-06-15
LONG,1773.178,1770.68,1783.18,0.4,2021-04-20 07:00:00+00:00,1770.68,sl,-100.92000000000189,2021,4,2021-04-20
SHORT,1778.968,1781.47,1768.97,0.4,2021-06-25 11:00:00+00:00,1781.47,sl,-101.07999999999811,2021,6,2021-06-28
SHORT,1774.168,1776.67,1764.17,0.4,2021-11-30 11:00:00+00:00,1776.67,sl,-101.0800000000072,2021,11,2021-11-30
SHORT,1791.718,1794.22,1781.72,0.4,2022-01-10 07:00:00+00:00,1794.22,sl,-101.07999999999811,2022,1,2022-01-10
LONG,1841.498,1839.0,1851.5,0.4,2022-02-10 11:00:00+00:00,1839.0,sl,-100.92000000000189,2022,2,2022-02-10
LONG,1672.458,1669.96,1682.46,0.4,2022-11-08 06:00:00+00:00,1669.96,sl,-100.92000000000189,2022,11,2022-11-08
LONG,1760.168,1757.67,1770.17,0.4,2022-11-30 13:00:00+00:00,1757.67,sl,-100.9199999999928,2022,11,2022-11-30
SHORT,1800.655,1803.15,1790.65,0.4,2022-12-20 07:00:00+00:00,1803.15,sl,-100.80000000000473,2022,12,2022-12-20
LONG,1805.885,1803.38,1815.88,0.4,2022-12-28 07:00:00+00:00,1803.38,sl,-101.19999999999527,2022,12,2022-12-28
LONG,1974.505,1972.01,1984.51,0.4,2023-11-20 11:00:00+00:00,1984.51,tp,399.19999999999527,2023,11,2023-11-20
SHORT,2029.335,2031.84,2019.34,0.4,2024-01-11 08:00:00+00:00,2031.84,sl,-101.19999999999527,2024,1,2024-01-11
SHORT,2004.275,2006.78,1994.28,0.4,2024-02-13 08:00:00+00:00,1994.28,tp,398.80000000000473,2024,2,2024-02-13
SHORT,2329.978,2332.48,2319.98,0.4,2024-05-31 11:00:00+00:00,2332.48,sl,-101.07999999999811,2024,5,2024-05-31
LONG,2372.035,2369.53,2382.03,0.4,2024-07-05 08:00:00+00:00,2382.03,tp,398.8000000000138,2024,7,2024-07-05
SHORT,2386.365,2388.86,2376.36,0.4,2024-07-30 08:00:00+00:00,2388.86,sl,-100.80000000001384,2024,7,2024-07-30
LONG,2402.678,2400.18,2412.68,0.4,2024-08-05 11:00:00+00:00,2400.18,sl,-100.92000000000189,2024,8,2024-08-05
SHORT,2507.018,2509.52,2497.02,0.4,2024-09-05 11:00:00+00:00,2509.52,sl,-101.07999999999811,2024,9,2024-09-05
SHORT,2585.755,2588.26,2575.76,0.4,2024-11-13 11:00:00+00:00,2575.76,tp,398.7999999999957,2024,11,2024-11-13
LONG,2753.708,2751.21,2763.71,0.4,2025-01-23 11:00:00+00:00,2751.21,sl,-100.92000000000189,2025,1,2025-01-23
LONG,2936.095,2933.59,2946.09,0.4,2025-03-12 11:00:00+00:00,2933.59,sl,-101.19999999998619,2025,3,2025-03-12
SHORT,3332.625,3335.12,3322.62,0.4,2025-06-26 07:00:00+00:00,3322.62,tp,399.2000000000044,2025,6,2025-06-26
LONG,3628.748,3626.25,3638.75,0.4,2025-09-11 08:00:00+00:00,3626.25,sl,-100.92000000000189,2025,9,2025-09-11
